FLIGHT_NUMBER,PASSENGER_COUNT
2247,203
104,18
1484,273
3377,52
3296,125
2421,168
241,261
1878,70
2429,81
2304,72
3122,268
3991,179
1812,127
1566,78
3174,27
3426,93
3167,7
3586,116
3361,193
630,226
3424,212
894,293
1921,76
3779,299
1441,285
988,50
3007,108
1627,203
2927,111
65,143
1081,41
3938,55
3948,233
911,240
3872,201
723,93
2434,176
2574,97
146,137
108,126
189,282
3991,37
3490,55
1209,7
1127,296
3481,217
3261,260
1642,181
3268,230
3118,282
346,42
3740,248
2473,135
557,28
2517,78
3045,237
1249,35
2405,204
1964,230
3320,274
665,155
2081,101
704,233
2797,211
2204,124
3569,249
938,54
995,176
3750,295
1452,168
984,46
1132,9
629,115
2859,70
2098,63
1040,158
1645,154
1643,71
561,170
1128,92
1406,231
1769,52
486,97
2852,120
3051,146
2243,239
2614,130
2904,17
3196,198
2809,202
3152,279
563,45
1448,168
2736,116
2712,90
3052,63
2432,61
1658,145
2411,90
293,41
3635,220
3084,217
97,185
3153,128
1874,32
2137,214
2101,186
2912,64
3487,26
3955,240
1776,74
3719,245
149,197
2931,212
303,117
1693,59
1497,65
3832,16
412,63
1847,150
239,45
240,41
3079,64
159,236
381,272
3982,274
2975,245
2225,153
979,201
548,145
976,46
1180,156
1746,181
2222,58
2824,98
333,170
3656,82
3808,164
528,99
1956,142
3639,171
3385,123
3675,170
1072,142
168,275
1941,122
2224,68
302,46
1017,198
729,18
3501,268
3313,113
3148,243
295,94
1340,26
3688,131
997,214
1368,81
1630,277
2219,144
674,167
2565,247
1802,41
2441,64
586,171
2147,117
3744,1
358,228
296,211
2999,298
2947,260
3689,58
845,293
3821,279
3027,12
3147,218
3632,192
1577,125
2513,176
3436,213
2088,151
340,147
2033,188
3524,268
2429,18
2100,115
2295,259
3414,2
3468,38
2405,163
2247,270
3822,44
640,272
3744,230
3089,224
2739,251
1456,2
3432,35
1456,68
676,112
2708,260
397,269
663,114
3803,268
2854,104
736,189
1800,197
3270,173
682,95
1071,160
1736,265
1971,24
540,40
2602,295
3799,272
1883,56
883,102
3729,224
3260,20
550,29
935,279
1030,15
1656,150
2479,88
2658,84
3263,80
3070,45
3452,255
1961,276
2091,170
1433,161
1474,238
1811,64
3321,121
453,71
2845,91
3494,44
816,71
2596,195
2415,46
1748,199
1185,273
844,20
2928,107
1791,90
1193,286
1775,61
2628,27
3287,168
243,134
3320,30
2244,9
502,6
3675,155
2465,257
96,123
875,78
1916,117
480,175
3802,294
2459,296
972,141
2763,177
217,75
654,292
3126,111
1138,232
2660,71
2382,201
1761,107
3015,26
2449,33
1834,171
2791,173
2611,3
2481,167
3070,177
3857,173
2853,225
199,60
3768,170
3908,74
843,196
1795,297
128,85
2114,260
3361,70
2148,180
1469,125
3047,22
1089,125
3505,61
1256,225
3620,59
1010,69
346,51
2878,173
3700,151
2857,196
2968,211
736,137
579,130
939,282
2194,74
2092,273
1441,198
1509,141
2282,71
934,42
2423,284
3584,287
1436,178
992,277
1789,267
989,240
3770,38
3914,39
2654,259
3220,200
3027,106
2355,92
1522,202
538,289
3322,290
3428,260
3879,11
1230,289
2181,87
3957,82
1267,166
3301,160
773,265
2683,92
2978,234
1761,24
1026,88
35,247
3033,76
491,52
2315,209
3708,295
504,214
3110,279
1621,15
3474,231
3016,198
962,182
3877,238
2514,297
2025,49
1239,26
458,29
3476,254
367,234
1626,83
3928,160
1676,175
3998,97
1518,17
538,32
2861,223
3197,36
394,131
758,195
3522,8
1398,92
1353,138
747,162
1378,166
1253,73
2495,31
1263,178
2693,177
380,252
3834,246
1279,71
2231,266
795,209
1165,60
3,88
3352,60
3847,74
3167,208
2359,67
3961,54
1334,169
3499,120
2043,72
3245,84
2086,148
1914,292
3752,25
3602,258
65,240
2048,115
2677,13
386,169
3020,58
3907,300
2163,108
639,278
189,189
2858,156
1279,206
3085,139
3111,30
3947,257
538,3
1508,208
548,28
2003,193
22,46
374,26
3085,284
2654,222
3174,46
1123,300
1602,212
1112,156
2929,119
3080,32
2567,137
2880,89
881,261
2398,162
196,67
2351,269
649,141
2437,259
2574,24
2161,101
77,194
3479,117
3771,223
3189,165
879,30
1537,175
2974,275
1846,11
1062,219
1819,66
2800,159
3238,214
39,31
981,191
1529,157
2353,120
1174,7
2681,18
3575,271
848,98
3710,139
2523,106
